,wave.time,wave.allitemcount,wave.totalelements,wave.error.count,wave.contrast.count,wave.alert.count,wave.feature.count,wave.structure.count,wave.aria.count,ipeds.schoolname,ipeds.city,ipeds.state,ipeds.degrees_awarded.predominant,ipeds.degrees_awarded.highest,ipeds.ownership,ipeds.admission_rate.overall,ipeds.online_only,ipeds.tuition.in_state,ipeds.tuition.out_of_state,ipeds.ft_faculty_rate,ipeds.institutional_characteristics.level,ipeds.endowment.begin,ipeds.size,calc.avg_net_price,calc.attendance_cost,calc.above_average_errors
789,3.73,266,1160,5,12,54,52,100,43,Saint Francis University,Loretto,PA,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.5935,Not online only,39278.0,39278.0,1.0,4-year,50785750.0,1657.0,29962.0,54101.0,False
790,2.92,233,1079,4,7,19,19,78,106,Saint Joseph's University,Philadelphia,PA,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.8007,Not online only,47940.0,47940.0,1.0,4-year,294286969.0,4217.0,33492.0,63223.0,False
791,5.93,259,649,7,2,80,29,53,88,Saint Vincent College,Latrobe,PA,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.7212,Not online only,37604.0,37604.0,0.9909,4-year,107736340.0,1432.0,21573.0,50140.0,False
792,3.33,233,750,4,33,17,49,61,69,University of Scranton,Scranton,PA,Predominantly bachelor's-degree granting,Graduate degree,Private nonprofit,0.7873,Not online only,47084.0,47084.0,0.7024,4-year,209760436.0,3592.0,34378.0,62380.0,False
793,11.24,255,1395,34,14,34,48,85,40,Laurel Technical Institute,Hermitage,PA,Predominantly certificate-degree granting,Associate degree,Private for-profit,0.9429,Not online only,10912.0,10912.0,0.4839,2-year,,121.0,5994.0,14658.0,False
794,11.24,255,1395,34,14,34,48,85,40,Laurel Business Institute,Uniontown,PA,Predominantly certificate-degree granting,Associate degree,Private for-profit,0.9543,Not online only,10912.0,10912.0,0.42,2-year,,235.0,8525.0,14212.0,False
795,11.24,255,1395,34,14,34,48,85,40,Laurel Technical Institute,MEADVILLE,PA,Predominantly certificate-degree granting,Associate degree,Private for-profit,0.9437,Not online only,10912.0,10912.0,0.5625,2-year,,78.0,7640.0,13998.0,False
796,7.44,213,1274,20,11,15,26,57,84,South Hills School of Business & Technology,State College,PA,Predominantly associate's-degree granting,Associate degree,Private for-profit,0.9952,Not online only,18475.0,18475.0,0.4912,2-year,,307.0,18366.0,25924.0,False
797,7.44,213,1274,20,11,15,26,57,84,South Hills School of Business and Technology-Altoona,Altoona,PA,Not classified,Non-degree-granting,Private for-profit,,,18475.0,18475.0,,2-year,,,,,False
798,3.02,66,591,15,3,16,5,15,12,Theological Seminary of the Reformed Episcopal Church,Blue Bell,PA,Entirely graduate-degree granting,Graduate degree,Private nonprofit,,Not online only,,,,4-year,932649.0,,,,False
