status.success,status.httpstatuscode,statistics.pagetitle,statistics.pageurl,statistics.time,statistics.creditsremaining,statistics.allitemcount,statistics.totalelements,statistics.waveurl,categories.error.description,categories.error.count,categories.contrast.description,categories.contrast.count,categories.alert.description,categories.alert.count,categories.feature.description,categories.feature.count,categories.structure.description,categories.structure.count,categories.aria.description,categories.aria.count,status.error
TRUE,200,"Career and Trade Schools in League City, TX | Remington College",remingtoncollege.edu/locations/houston/webster,3.12,1068,216,1120,http://wave.webaim.org/report?url=https://www.remingtoncollege.edu/locations/houston/webster/,Errors,10,Contrast Errors,3,Alerts,40,Features,44,Structural Elements,57,ARIA,62,
TRUE,200,Fox Valley Technical College®,fvtc.edu,4.33,1067,178,1155,http://wave.webaim.org/report?url=https://www.fvtc.edu/,Errors,0,Contrast Errors,38,Alerts,15,Features,17,Structural Elements,50,ARIA,58,
TRUE,200,University of Nebraska Omaha,unomaha.edu,3.82,1066,212,881,http://wave.webaim.org/report?url=https://www.unomaha.edu/,Errors,7,Contrast Errors,2,Alerts,15,Features,26,Structural Elements,80,ARIA,82,
TRUE,200,"Career and Trade Schools in Mobile, AL | Remington College",remingtoncollege.edu/locations/mobile,3.22,1065,224,1154,http://wave.webaim.org/report?url=https://www.remingtoncollege.edu/locations/mobile/,Errors,10,Contrast Errors,3,Alerts,38,Features,48,Structural Elements,63,ARIA,62,
TRUE,200,FVI School of Nursing | Healthcare Programs | Technology Programs,fvi.edu,4.22,1064,471,1118,http://wave.webaim.org/report?url=www.fvi.edu/,Errors,3,Contrast Errors,40,Alerts,78,Features,45,Structural Elements,57,ARIA,248,
TRUE,200,Welcome to Johnston Community College,johnstoncc.edu,2.92,1063,78,443,http://wave.webaim.org/report?url=www.johnstoncc.edu/,Errors,0,Contrast Errors,1,Alerts,6,Features,21,Structural Elements,26,ARIA,24,
TRUE,200,United States Sports Academy – America's Sports University,ussa.edu,6.53,1062,246,1604,http://wave.webaim.org/report?url=www.ussa.edu/,Errors,3,Contrast Errors,3,Alerts,19,Features,38,Structural Elements,87,ARIA,96,
TRUE,200,Homepage | Coppin State University,coppin.edu,3.12,1061,446,1520,http://wave.webaim.org/report?url=www.coppin.edu/,Errors,11,Contrast Errors,2,Alerts,148,Features,30,Structural Elements,75,ARIA,180,
TRUE,200,Homepage | Viterbo University,viterbo.edu,10.53,1060,107,650,http://wave.webaim.org/report?url=www.viterbo.edu/,Errors,16,Contrast Errors,6,Alerts,8,Features,13,Structural Elements,41,ARIA,23,
TRUE,200,Saint Joseph's University,sju.edu,2.92,1059,233,1079,http://wave.webaim.org/report?url=https://www.sju.edu/,Errors,4,Contrast Errors,7,Alerts,19,Features,19,Structural Elements,78,ARIA,106,
TRUE,200,James Sprunt Community College,jamessprunt.edu,9.34,1058,314,1860,http://wave.webaim.org/report?url=www.jamessprunt.edu/,Errors,3,Contrast Errors,27,Alerts,63,Features,64,Structural Elements,45,ARIA,112,
TRUE,200,Your Future Starts at Central Maine Community College,cmcc.edu,3.23,1057,116,974,http://wave.webaim.org/report?url=https://www.cmcc.edu/,Errors,3,Contrast Errors,3,Alerts,21,Features,23,Structural Elements,51,ARIA,15,
TRUE,200,William Woods University | flourish!,williamwoods.edu,4.02,1056,205,779,http://wave.webaim.org/report?url=https://www.williamwoods.edu/,Errors,3,Contrast Errors,0,Alerts,17,Features,58,Structural Elements,55,ARIA,72,
TRUE,200,PAFA - Pennsylvania Academy of the Fine Arts | Since 1805,pafa.org,3.13,1055,163,533,http://wave.webaim.org/report?url=https://www.pafa.org/,Errors,2,Contrast Errors,11,Alerts,14,Features,13,Structural Elements,46,ARIA,77,
TRUE,200,Carl Sandburg College,sandburg.edu,4.45,1054,181,520,http://wave.webaim.org/report?url=www.sandburg.edu/,Errors,0,Contrast Errors,0,Alerts,7,Features,33,Structural Elements,35,ARIA,106,
TRUE,200,Home | Gordon State College,gordonstate.edu,4.32,1053,632,1029,http://wave.webaim.org/report?url=https://www.gordonstate.edu/,Errors,11,Contrast Errors,31,Alerts,30,Features,17,Structural Elements,39,ARIA,504,
TRUE,200,Home,navarrocollege.edu,4.63,1052,151,900,http://wave.webaim.org/report?url=www.navarrocollege.edu/,Errors,10,Contrast Errors,12,Alerts,25,Features,28,Structural Elements,54,ARIA,22,
TRUE,200,"Young Harris College | Educating, Inspiring and Empowering You",yhc.edu,3.22,1051,125,570,http://wave.webaim.org/report?url=www.yhc.edu/,Errors,0,Contrast Errors,1,Alerts,21,Features,24,Structural Elements,21,ARIA,58,
TRUE,200,"Bryan College | Dayton, TN",bryan.edu,5.02,1050,798,2180,http://wave.webaim.org/report?url=www.bryan.edu/,Errors,1,Contrast Errors,31,Alerts,130,Features,44,Structural Elements,190,ARIA,402,
TRUE,200,University | Villanova University,villanova.edu,4.43,1049,322,1078,http://wave.webaim.org/report?url=www.villanova.edu/,Errors,2,Contrast Errors,0,Alerts,56,Features,18,Structural Elements,70,ARIA,176,
TRUE,200,AGM University,agmu.edu,3.04,1048,112,715,http://wave.webaim.org/report?url=www.agmu.edu/,Errors,15,Contrast Errors,4,Alerts,24,Features,13,Structural Elements,33,ARIA,23,
TRUE,200,An Alfred State degree gets results! | Alfred State,alfredstate.edu,4.93,1047,1191,2196,http://wave.webaim.org/report?url=www.alfredstate.edu/,Errors,33,Contrast Errors,3,Alerts,73,Features,57,Structural Elements,112,ARIA,913,
TRUE,200,Home,napavalley.edu,4.62,1046,311,1360,http://wave.webaim.org/report?url=www.napavalley.edu/,Errors,17,Contrast Errors,1,Alerts,7,Features,22,Structural Elements,110,ARIA,154,
TRUE,200,Career Schools in Newport News | Centura College,centuracollege.edu/campuses/newport-news,2.72,1045,207,1070,http://wave.webaim.org/report?url=https://www.centuracollege.edu/campuses/newport-news/,Errors,3,Contrast Errors,57,Alerts,35,Features,41,Structural Elements,35,ARIA,36,
TRUE,200,Schools of Medical Massage,massageschools.com,2.11,1044,49,223,http://wave.webaim.org/report?url=www.massageschools.com/,Errors,6,Contrast Errors,11,Alerts,11,Features,10,Structural Elements,11,ARIA,0,
TRUE,200,University of Notre Dame,nd.edu,1.92,1043,130,612,http://wave.webaim.org/report?url=www.nd.edu/,Errors,0,Contrast Errors,3,Alerts,23,Features,17,Structural Elements,50,ARIA,37,
TRUE,200,LCU: Lubbock Christian University,lcu.edu,2.72,1042,179,682,http://wave.webaim.org/report?url=https://www.lcu.edu/,Errors,2,Contrast Errors,5,Alerts,64,Features,15,Structural Elements,70,ARIA,23,
TRUE,200,Welcome to Keiser University | Universities in Florida,keiseruniversity.edu,5.63,1041,1030,2932,http://wave.webaim.org/report?url=www.keiseruniversity.edu/,Errors,103,Contrast Errors,65,Alerts,67,Features,30,Structural Elements,173,ARIA,592,
TRUE,200,Creative Arts School - MediaTech Institute - Real Industry Experience,mediatech.edu,10.25,1040,328,1872,http://wave.webaim.org/report?url=https://www.mediatech.edu/,Errors,8,Contrast Errors,57,Alerts,97,Features,67,Structural Elements,81,ARIA,18,
TRUE,200,CCMS | Home,ccms.edu,3.42,1039,275,1458,http://wave.webaim.org/report?url=www.ccms.edu/,Errors,1,Contrast Errors,4,Alerts,17,Features,74,Structural Elements,43,ARIA,136,
TRUE,200,The world's first tuition-free online university University of the People,uopeople.edu,2.82,1038,242,1413,http://wave.webaim.org/report?url=www.uopeople.edu/,Errors,24,Contrast Errors,4,Alerts,60,Features,40,Structural Elements,62,ARIA,52,
TRUE,200,Entourage Institute of Beauty and Esthetics - Davines Professional Academy of Beauty & Business,davinesproacademy.edu,5.02,1037,250,1308,http://wave.webaim.org/report?url=davinesproacademy.edu/,Errors,24,Contrast Errors,33,Alerts,24,Features,40,Structural Elements,115,ARIA,14,
TRUE,200,Home | TCAT Hartsville,tcathartsville.edu,5.42,1036,122,626,http://wave.webaim.org/report?url=www.tcathartsville.edu/,Errors,6,Contrast Errors,4,Alerts,13,Features,33,Structural Elements,26,ARIA,40,
TRUE,200,Amtec – Landing Page,amtec.edu,5.52,1035,294,1141,http://wave.webaim.org/report?url=www.amtec.edu/,Errors,19,Contrast Errors,28,Alerts,28,Features,49,Structural Elements,60,ARIA,110,
TRUE,200,"CCU College - Training for Hair, Skin, and Nails",ccucollege.net,3.62,1034,48,353,http://wave.webaim.org/report?url=www.ccucollege.net/,Errors,14,Contrast Errors,2,Alerts,8,Features,4,Structural Elements,18,ARIA,2,
TRUE,200,Yale University,yale.edu,2.12,1033,248,652,http://wave.webaim.org/report?url=https://www.yale.edu/,Errors,4,Contrast Errors,1,Alerts,2,Features,32,Structural Elements,47,ARIA,162,
TRUE,200,Pacific States University – Education is the best investment,psuca.edu,3.12,1032,265,830,http://wave.webaim.org/report?url=www.psuca.edu/,Errors,9,Contrast Errors,4,Alerts,11,Features,11,Structural Elements,46,ARIA,184,
TRUE,200,CUSM,cusm.org,4.52,1031,85,395,http://wave.webaim.org/report?url=https://www.cusm.org/,Errors,9,Contrast Errors,19,Alerts,13,Features,16,Structural Elements,24,ARIA,4,
TRUE,200,Bloomfield College | Write Your Own Story,bloomfield.edu,3.82,1030,292,1201,http://wave.webaim.org/report?url=www.bloomfield.edu/,Errors,12,Contrast Errors,6,Alerts,16,Features,17,Structural Elements,60,ARIA,181,
TRUE,200,Valley City State University | See yourself at VCSU,vcsu.edu,5.52,1029,688,769,http://wave.webaim.org/report?url=www.vcsu.edu/,Errors,0,Contrast Errors,11,Alerts,13,Features,9,Structural Elements,68,ARIA,587,
TRUE,200,Beauty School St Pete FL | Cosmetology Training | Nail Tech Classes,genesiscareer.edu/loraines-academy-spa-st-petersburg-fl,4.1,1028,178,991,http://wave.webaim.org/report?url=www.genesiscareer.edu/loraines-academy-spa-st-petersburg-fl/,Errors,3,Contrast Errors,8,Alerts,8,Features,16,Structural Elements,71,ARIA,72,
TRUE,200,Princeton Theological Seminary - Educating faithful Christian leaders | Princeton Theological Seminary,ptsem.edu,5.93,1027,403,1438,http://wave.webaim.org/report?url=www.ptsem.edu/,Errors,1,Contrast Errors,14,Alerts,33,Features,50,Structural Elements,124,ARIA,181,
TRUE,200,Black Hawk College - Quad-Cities Campus and East Campus,bhc.edu,7.13,1026,1071,1790,http://wave.webaim.org/report?url=www.bhc.edu/,Errors,1,Contrast Errors,15,Alerts,43,Features,21,Structural Elements,151,ARIA,840,
TRUE,200,Lone Star College - Start Close. Go Far.,lonestar.edu,6.83,1025,154,856,http://wave.webaim.org/report?url=www.lonestar.edu/,Errors,6,Contrast Errors,3,Alerts,20,Features,28,Structural Elements,60,ARIA,37,
TRUE,200,Johnson C. Smith University,jcsu.edu,9.14,1024,132,649,http://wave.webaim.org/report?url=www.jcsu.edu/,Errors,13,Contrast Errors,3,Alerts,13,Features,10,Structural Elements,34,ARIA,59,
TRUE,200,Hamrick Truck Driving School,hamrickschool.edu,3.64,1023,110,534,http://wave.webaim.org/report?url=https://www.hamrickschool.edu/,Errors,5,Contrast Errors,3,Alerts,23,Features,14,Structural Elements,49,ARIA,16,
TRUE,200,Yeshiva Ohr Naftoli – Yeshiva Ohr Naftoli,yeshivaohrnaftoli.com,2.72,1022,50,271,http://wave.webaim.org/report?url=https://www.yeshivaohrnaftoli.com/,Errors,0,Contrast Errors,23,Alerts,6,Features,3,Structural Elements,11,ARIA,7,
TRUE,200,"Lincoln Tech Nashville, TN Campus | Trade School",lincolntech.edu/campus/nashville-tn,4.64,1021,273,1294,http://wave.webaim.org/report?url=www.lincolntech.edu/campus/nashville-tn,Errors,4,Contrast Errors,7,Alerts,14,Features,21,Structural Elements,80,ARIA,147,
TRUE,200,Mount St. Mary's University,msmary.edu,3.74,1020,623,1468,http://wave.webaim.org/report?url=https://msmary.edu/,Errors,6,Contrast Errors,84,Alerts,92,Features,35,Structural Elements,76,ARIA,330,
TRUE,200,The Art Institute of Houston,artinstitutes.edu/houston,9.23,1019,297,1205,http://wave.webaim.org/report?url=www.artinstitutes.edu/houston,Errors,13,Contrast Errors,5,Alerts,33,Features,73,Structural Elements,92,ARIA,81,
TRUE,200,Dakota State University,dsu.edu,3.95,1018,155,1071,http://wave.webaim.org/report?url=https://dsu.edu/,Errors,0,Contrast Errors,26,Alerts,7,Features,30,Structural Elements,64,ARIA,28,
TRUE,200,"Merrell University of Beauty Arts & Science Jefferson City, MO",merrelluniversity.edu,5.63,1017,280,860,http://wave.webaim.org/report?url=merrelluniversity.edu/,Errors,23,Contrast Errors,42,Alerts,58,Features,14,Structural Elements,45,ARIA,98,
TRUE,200,"Lake of the Ozarks, MO | Columbia College",ccis.edu/locations/lake-ozark.aspx,4.43,1016,301,1318,http://wave.webaim.org/report?url=www.ccis.edu/locations/lake-ozark.aspx,Errors,6,Contrast Errors,11,Alerts,24,Features,31,Structural Elements,86,ARIA,143,
TRUE,200,Welcome to Purchase College,purchase.edu,2.72,1015,159,580,http://wave.webaim.org/report?url=www.purchase.edu/,Errors,0,Contrast Errors,0,Alerts,13,Features,20,Structural Elements,65,ARIA,61,
TRUE,200,"Montgomery, AL Campus | Strayer University",strayer.edu/campus-locations/alabama/montgomery,8.83,1014,893,2379,http://wave.webaim.org/report?url=www.strayer.edu/campus-locations/alabama/montgomery,Errors,5,Contrast Errors,14,Alerts,45,Features,88,Structural Elements,76,ARIA,665,
TRUE,200,TONI&GUY Hairdressing Academy,riorancho.toniguy.edu,6.52,1013,302,847,http://wave.webaim.org/report?url=riorancho.toniguy.edu/,Errors,3,Contrast Errors,1,Alerts,15,Features,79,Structural Elements,31,ARIA,173,
TRUE,200,The George Washington University,gwu.edu,3.22,1012,206,712,http://wave.webaim.org/report?url=https://www.gwu.edu/,Errors,0,Contrast Errors,0,Alerts,13,Features,23,Structural Elements,46,ARIA,124,
TRUE,200,"About Our Beauty School in Phoenix, AZ | Aveda Institutes",avedainspiregreatness.com/phoenix-campus,2.52,1011,280,1193,http://wave.webaim.org/report?url=avedainspiregreatness.com/phoenix-campus/,Errors,20,Contrast Errors,1,Alerts,52,Features,49,Structural Elements,60,ARIA,98,
TRUE,200,"Esthetics School, Makeup Artistry - The Esthetic institute",estheticinstitute.com,3.52,1010,174,858,http://wave.webaim.org/report?url=estheticinstitute.com/,Errors,4,Contrast Errors,21,Alerts,18,Features,50,Structural Elements,48,ARIA,33,
TRUE,200,"Undergraduate, Graduate & Online Programs - Boston, MA – Lasell University",lasell.edu,4.33,1009,309,908,http://wave.webaim.org/report?url=www.lasell.edu/,Errors,4,Contrast Errors,23,Alerts,45,Features,47,Structural Elements,57,ARIA,133,
TRUE,200,"Gnomon - School of VFX, Games & Animation - Gnomon",gnomon.edu,4.62,1008,237,755,http://wave.webaim.org/report?url=https://www.gnomon.edu/,Errors,1,Contrast Errors,4,Alerts,31,Features,37,Structural Elements,65,ARIA,99,
TRUE,200,Columbia University in the City of New York,columbia.edu,3.22,1007,413,1391,http://wave.webaim.org/report?url=www.columbia.edu/,Errors,0,Contrast Errors,6,Alerts,10,Features,63,Structural Elements,77,ARIA,257,
TRUE,200,"Salisbury University, Universities in Maryland",salisbury.edu,3.32,1006,230,856,http://wave.webaim.org/report?url=https://www.salisbury.edu/,Errors,0,Contrast Errors,2,Alerts,15,Features,28,Structural Elements,50,ARIA,135,
TRUE,200,"Phoenix Seminary - nationally-recognized, graduate level theological seminary located in the heart of Phoenix, Arizona",ps.edu,5.91,1005,215,1185,http://wave.webaim.org/report?url=www.ps.edu/,Errors,7,Contrast Errors,30,Alerts,22,Features,16,Structural Elements,69,ARIA,71,
