,statistics.pagetitle,statistics.pageurl,statistics.time,statistics.allitemcount,statistics.totalelements,statistics.waveurl,categories.error.count,categories.contrast.count,categories.alert.count,categories.feature.count,categories.structure.count,categories.aria.count
60,Yale University,yale.edu,2.12,248,652,http://wave.webaim.org/report?url=https://www.yale.edu/,4,1,2,32,47,162
61,Pacific States University – Education is the best investment,psuca.edu,3.12,265,830,http://wave.webaim.org/report?url=www.psuca.edu/,9,4,11,11,46,184
62,CUSM,cusm.org,4.52,85,395,http://wave.webaim.org/report?url=https://www.cusm.org/,9,19,13,16,24,4
63,Bloomfield College | Write Your Own Story,bloomfield.edu,3.82,292,1201,http://wave.webaim.org/report?url=www.bloomfield.edu/,12,6,16,17,60,181
64,Valley City State University | See yourself at VCSU,vcsu.edu,5.52,688,769,http://wave.webaim.org/report?url=www.vcsu.edu/,0,11,13,9,68,587
65,Beauty School St Pete FL | Cosmetology Training | Nail Tech Classes,genesiscareer.edu/loraines-academy-spa-st-petersburg-fl,4.1,178,991,http://wave.webaim.org/report?url=www.genesiscareer.edu/loraines-academy-spa-st-petersburg-fl/,3,8,8,16,71,72
66,Princeton Theological Seminary - Educating faithful Christian leaders | Princeton Theological Seminary,ptsem.edu,5.93,403,1438,http://wave.webaim.org/report?url=www.ptsem.edu/,1,14,33,50,124,181
67,Black Hawk College - Quad-Cities Campus and East Campus,bhc.edu,7.13,1071,1790,http://wave.webaim.org/report?url=www.bhc.edu/,1,15,43,21,151,840
68,Lone Star College - Start Close. Go Far.,lonestar.edu,6.83,154,856,http://wave.webaim.org/report?url=www.lonestar.edu/,6,3,20,28,60,37
69,Johnson C. Smith University,jcsu.edu,9.14,132,649,http://wave.webaim.org/report?url=www.jcsu.edu/,13,3,13,10,34,59
70,Hamrick Truck Driving School,hamrickschool.edu,3.64,110,534,http://wave.webaim.org/report?url=https://www.hamrickschool.edu/,5,3,23,14,49,16
71,Yeshiva Ohr Naftoli – Yeshiva Ohr Naftoli,yeshivaohrnaftoli.com,2.72,50,271,http://wave.webaim.org/report?url=https://www.yeshivaohrnaftoli.com/,0,23,6,3,11,7
72,"Lincoln Tech Nashville, TN Campus | Trade School",lincolntech.edu/campus/nashville-tn,4.64,273,1294,http://wave.webaim.org/report?url=www.lincolntech.edu/campus/nashville-tn,4,7,14,21,80,147
73,Mount St. Mary's University,msmary.edu,3.74,623,1468,http://wave.webaim.org/report?url=https://msmary.edu/,6,84,92,35,76,330
74,The Art Institute of Houston,artinstitutes.edu/houston,9.23,297,1205,http://wave.webaim.org/report?url=www.artinstitutes.edu/houston,13,5,33,73,92,81
75,Dakota State University,dsu.edu,3.95,155,1071,http://wave.webaim.org/report?url=https://dsu.edu/,0,26,7,30,64,28
76,"Merrell University of Beauty Arts & Science Jefferson City, MO",merrelluniversity.edu,5.63,280,860,http://wave.webaim.org/report?url=merrelluniversity.edu/,23,42,58,14,45,98
77,"Lake of the Ozarks, MO | Columbia College",ccis.edu/locations/lake-ozark.aspx,4.43,301,1318,http://wave.webaim.org/report?url=www.ccis.edu/locations/lake-ozark.aspx,6,11,24,31,86,143
78,Welcome to Purchase College,purchase.edu,2.72,159,580,http://wave.webaim.org/report?url=www.purchase.edu/,0,0,13,20,65,61
79,"Montgomery, AL Campus | Strayer University",strayer.edu/campus-locations/alabama/montgomery,8.83,893,2379,http://wave.webaim.org/report?url=www.strayer.edu/campus-locations/alabama/montgomery,5,14,45,88,76,665
80,TONI&GUY Hairdressing Academy,riorancho.toniguy.edu,6.52,302,847,http://wave.webaim.org/report?url=riorancho.toniguy.edu/,3,1,15,79,31,173
81,The George Washington University,gwu.edu,3.22,206,712,http://wave.webaim.org/report?url=https://www.gwu.edu/,0,0,13,23,46,124
82,"About Our Beauty School in Phoenix, AZ | Aveda Institutes",avedainspiregreatness.com/phoenix-campus,2.52,280,1193,http://wave.webaim.org/report?url=avedainspiregreatness.com/phoenix-campus/,20,1,52,49,60,98
83,"Esthetics School, Makeup Artistry - The Esthetic institute",estheticinstitute.com,3.52,174,858,http://wave.webaim.org/report?url=estheticinstitute.com/,4,21,18,50,48,33
84,"Undergraduate, Graduate & Online Programs - Boston, MA – Lasell University",lasell.edu,4.33,309,908,http://wave.webaim.org/report?url=www.lasell.edu/,4,23,45,47,57,133
85,"Gnomon - School of VFX, Games & Animation - Gnomon",gnomon.edu,4.62,237,755,http://wave.webaim.org/report?url=https://www.gnomon.edu/,1,4,31,37,65,99
86,Columbia University in the City of New York,columbia.edu,3.22,413,1391,http://wave.webaim.org/report?url=www.columbia.edu/,0,6,10,63,77,257
87,"Salisbury University, Universities in Maryland",salisbury.edu,3.32,230,856,http://wave.webaim.org/report?url=https://www.salisbury.edu/,0,2,15,28,50,135
88,"Phoenix Seminary - nationally-recognized, graduate level theological seminary located in the heart of Phoenix, Arizona",ps.edu,5.91,215,1185,http://wave.webaim.org/report?url=www.ps.edu/,7,30,22,16,69,71
89,Cosmetology School in Texas | William Edge Institute,williamedgeinstitute.com,6.32,617,1823,http://wave.webaim.org/report?url=williamedgeinstitute.com/,67,5,72,5,35,433
90,Celebrating 75 Years of Innovation and Achievement | Utica University,utica.edu,3.82,194,765,http://wave.webaim.org/report?url=https://www.utica.edu/,0,3,32,37,64,58
91,Institute of Medical Ultrasound,imu.edu,5.43,36,241,http://wave.webaim.org/report?url=www.imu.edu/,2,3,2,6,18,5
92,Not Found,relay.edu/location/relay-memphis,3.42,82,192,http://wave.webaim.org/report?url=relay.edu/location/relay-memphis,4,0,9,4,14,51
93,Home - Washington Barber CollegeWashington Barber College | Developing World Class Professionals,washingtonbarbercollege.edu,4.83,99,421,http://wave.webaim.org/report?url=www.washingtonbarbercollege.edu/,4,7,50,12,25,1
94,Joseph's College :: Nebraska Cosmetology College,josephscollege.edu,3.13,114,891,http://wave.webaim.org/report?url=josephscollege.edu/,21,30,22,19,21,1
95,College Campus Locations | Strayer University,strayer.edu/campus-locations/new-jersey/willingboro,8.33,1181,2787,http://wave.webaim.org/report?url=www.strayer.edu/campus-locations/new-jersey/willingboro,5,1,39,190,123,823
96,Home | Arcadia University,arcadia.edu,4.32,470,2862,http://wave.webaim.org/report?url=https://www.arcadia.edu/,0,4,22,61,177,206
97,Victor Valley College,vvc.edu,7.93,662,2069,http://wave.webaim.org/report?url=www.vvc.edu/,2,38,99,65,110,348
98,Home | Rowan College of South Jersey,rcsj.edu,6.33,375,924,http://wave.webaim.org/report?url=https://www.rcsj.edu/,2,3,24,53,73,220
99,Diablo Valley College,dvc.edu,8.07,243,928,http://wave.webaim.org/report?url=https://www.dvc.edu/,1,6,78,25,73,60
100,Home | Southeastern Oklahoma State University,se.edu,3.87,166,897,http://wave.webaim.org/report?url=www.se.edu/,1,16,22,32,57,38
101,Home | SUNY Maritime College,sunymaritime.edu,3.32,607,932,http://wave.webaim.org/report?url=www.sunymaritime.edu/,0,1,165,34,49,358
102,Welcome to UHart - University of Hartford,hartford.edu,5.52,344,2614,http://wave.webaim.org/report?url=www.hartford.edu/,12,55,38,6,68,165
103,MACC Homepage | MACC,macc.edu,4.82,774,3144,http://wave.webaim.org/report?url=www.macc.edu/,16,89,39,13,245,372
104,"South University Richmond (Glen Allen), VA Campus | Programs & Degrees",southuniversity.edu/richmond,7.73,837,1831,http://wave.webaim.org/report?url=www.southuniversity.edu/richmond,24,8,25,81,113,586
105,Oral Roberts University | Spirit-Empowered Christian Education,oru.edu,3.52,129,663,http://wave.webaim.org/report?url=https://oru.edu/,11,5,11,7,49,46
106,Home - Rolla Technical Institute/Center,rtirtc.rolla31.org,4.32,263,1013,http://wave.webaim.org/report?url=https://rtirtc.rolla31.org/,9,1,15,9,57,172
107,ROCKFORD CAREER COLLEGE | Building great futures since 1862.,rockfordcareercollege.edu,3.32,220,925,http://wave.webaim.org/report?url=https://www.rockfordcareercollege.edu/,26,95,24,21,53,1
108,LSU Health Shreveport - Teach. Heal. Discover.,lsuhs.edu,7.13,2717,4360,http://wave.webaim.org/report?url=www.lsuhs.edu/,112,12,340,6,193,2054
109,Central School of Practical Nursing / Overview,npsk12.com/domain/980,4.02,777,1635,http://wave.webaim.org/report?url=https://www.npsk12.com/domain/980,1,1,33,15,56,671
110,Home - The Avenue Academy,theavenueacademy.com,5.73,117,663,http://wave.webaim.org/report?url=www.theavenueacademy.com/,1,0,18,14,36,48
111,Home Page » College of the Marshall Islands,cmi.edu,6.42,716,1768,http://wave.webaim.org/report?url=www.cmi.edu/,3,16,47,6,152,492
112,"Your future, front and centre. | Centre College",centre.edu,3.02,119,605,http://wave.webaim.org/report?url=https://www.centre.edu/,0,3,3,39,46,28
113,"SUNY Cobleskill | To Grow, To Sustain and To Renew",cobleskill.edu,5.23,160,595,http://wave.webaim.org/report?url=www.cobleskill.edu/,3,10,20,16,33,78
114,The City College of New York,ccny.cuny.edu,3.32,574,1315,http://wave.webaim.org/report?url=www.ccny.cuny.edu/,21,21,245,69,114,104
115,MyCAA Funding & Military Spouse Scholarships – Train For A New Career For Military Spouses – Up To $4000 Scholorship,abtu.edu,5.74,143,787,http://wave.webaim.org/report?url=https://abtu.edu/,25,22,6,11,68,11
116,"Birmingham, AL Campus | Strayer University",strayer.edu/campus-locations/alabama/birmingham,12.55,888,2343,http://wave.webaim.org/report?url=www.strayer.edu/campus-locations/alabama/birmingham,5,14,45,84,80,660
117,Home of Your Future | The College of Saint Rose,strose.edu,3.32,392,1881,http://wave.webaim.org/report?url=www.strose.edu/,54,4,19,63,132,120
118,Rocky Mountain University |,rm.edu,4.92,394,2398,http://wave.webaim.org/report?url=https://rm.edu/,53,2,143,25,143,28
119,UTC,utcpr.edu,2.32,81,353,http://wave.webaim.org/report?url=www.utcpr.edu/,30,13,24,1,13,0
120,"Whitworth University | A Christian university in Spokane, Washington",whitworth.edu/cms,4.02,95,429,http://wave.webaim.org/report?url=https://www.whitworth.edu/cms/,20,6,26,3,28,12
121,"New River Community College - Dublin, Virginia",nr.edu,4.42,264,1592,http://wave.webaim.org/report?url=www.nr.edu/,2,16,28,37,88,93
122,Jackson State Community College | Jackson State Community College,jscc.edu,2.93,133,766,http://wave.webaim.org/report?url=www.jscc.edu/,1,5,11,27,74,15
123,"Doane University | Liberal Arts College in Nebraska | Crete, Lincoln and Omaha",doane.edu,4.83,420,1639,http://wave.webaim.org/report?url=www.doane.edu/,0,9,45,58,99,209
124,Explore the home of the Jayhawks | The University of Kansas,ku.edu,3.23,198,590,http://wave.webaim.org/report?url=https://ku.edu/,2,0,22,13,22,139
125,Technical Schools in Kansas City | Aviation Institute of Maintenance,aviationmaintenance.edu/campuses/kansas-city-mo/index.html,4.73,213,1234,http://wave.webaim.org/report?url=https://www.aviationmaintenance.edu/campuses/kansas-city-mo/index.html,9,17,19,21,55,92
126,Error: Active domain connection for this domain not found,jolieacademy.com,2.01,4,14,http://wave.webaim.org/report?url=jolieacademy.com/,1,0,2,1,0,0
127,"Public College in Dalton, Georgia | Dalton State College",daltonstate.edu/index.cms,5.13,110,943,http://wave.webaim.org/report?url=https://www.daltonstate.edu/index.cms,2,21,14,21,49,3
128,"Home | Pomona College in Claremont, California - Pomona College",pomona.edu,3.92,134,888,http://wave.webaim.org/report?url=www.pomona.edu/,1,2,12,23,60,36
129,Lake Forest College | Lake Forest College,lakeforest.edu,5.82,343,2817,http://wave.webaim.org/report?url=www.lakeforest.edu/,133,10,13,20,166,1
130,Beauty School in Louisiana | Celebrity Stylist Beauty School,celebritystylistbeautyschool.com,3.83,118,621,http://wave.webaim.org/report?url=www.celebritystylistbeautyschool.com/,11,6,23,20,30,28
131,Christian Chefs International - Christian Culinary Academy,christianculinary.org,3.02,47,314,http://wave.webaim.org/report?url=https://www.christianculinary.org/,7,6,15,7,12,0
132,Home - Frederick Community College,frederick.edu,4.32,178,932,http://wave.webaim.org/report?url=www.frederick.edu/,22,11,44,51,38,12
133,SBBCollege Medical School - Medical College in California,sbbcollege.edu,3.63,127,472,http://wave.webaim.org/report?url=https://sbbcollege.edu/,26,8,4,12,30,47
134,Home - Landing Page - Sacred Heart Seminary and School of Theology,shsst.edu,3.02,115,712,http://wave.webaim.org/report?url=www.shsst.edu/,7,10,32,14,36,16
