,INSTNM,CITY,STABBR,INSTURL,PREDDEG,HIGHDEG,CONTROL,ADM_RATE,DISTANCEONLY,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,PFTFAC,ICLEVEL,ENDOWBEGIN,UGDS,NPT4_PUB,NPT4_PRIV
38,Northeast Alabama Community College,Rainsville,AL,nacc.edu,1,2,1,,0.0,9260.0,,4860.0,8850.0,0.3841,2,4181.0,1565.0,3232.0,
39,Oakwood University,Huntsville,AL,www2.oakwood.edu,3,4,2,0.7185,0.0,37238.0,,19990.0,19990.0,0.9492,1,20201402.0,1353.0,,22588.0
40,Reid State Technical College,Evergreen,AL,rstc.edu,1,2,1,,0.0,8598.0,,4890.0,8580.0,0.6154,2,,254.0,186.0,
41,Bishop State Community College,Mobile,AL,bishop.edu,2,2,1,,0.0,10415.0,,4860.0,8550.0,0.4354,2,151679.0,1885.0,3163.0,
42,Samford University,Birmingham,AL,samford.edu,3,4,2,0.8387,0.0,51314.0,,35360.0,35360.0,0.9898,1,332869066.0,3604.0,,30716.0
43,Shelton State Community College,Tuscaloosa,AL,sheltonstate.edu,2,2,1,,0.0,14409.0,,4587.0,8277.0,0.5,2,,4018.0,8017.0,
44,Snead State Community College,Boaz,AL,snead.edu,2,2,1,,0.0,13481.0,,5344.0,9280.0,0.3185,2,2605005.0,1537.0,7179.0,
45,University of South Alabama,Mobile,AL,southalabama.edu,3,4,1,0.7078,0.0,22139.0,,8756.0,17012.0,0.5766,1,470288000.0,8631.0,16223.0,
46,Spring Hill College,Mobile,AL,shc.edu,3,4,2,0.7152,0.0,56502.0,,21100.0,21100.0,0.7748,1,17236188.0,989.0,,20891.0
47,Stillman College,Tuscaloosa,AL,stillman.edu,3,3,2,0.758,0.0,24540.0,,11392.0,11392.0,0.5542,1,18932197.0,721.0,,17127.0
48,Talladega College,Talladega,AL,talladega.edu,3,4,2,,0.0,22696.0,,13886.0,13886.0,0.5181,1,2561968.0,1144.0,,13575.0
49,H Councill Trenholm State Community College,Montgomery,AL,trenholmstate.edu,2,2,1,,0.0,12098.0,,4770.0,8460.0,0.4667,2,,1522.0,5324.0,
50,Troy University,Troy,AL,troy.edu,3,4,1,0.9527,0.0,21376.0,,9312.0,18624.0,0.4692,1,152060888.0,10916.0,14019.0,
51,Tuskegee University,Tuskegee,AL,tuskegee.edu,3,4,2,0.342,0.0,41991.0,,22614.0,22614.0,0.886,1,123415957.0,2184.0,,34926.0
52,United States Sports Academy,Daphne,AL,ussa.edu,3,4,2,1.0,1.0,,,16418.0,16418.0,0.4167,1,1000000.0,68.0,,
53,Bevill State Community College,Jasper,AL,bscc.edu,1,2,1,,0.0,15406.0,,5214.0,9150.0,0.4524,2,226601.0,2291.0,7087.0,
54,University of Alaska Anchorage,Anchorage,AK,uaa.alaska.edu,3,4,1,0.6905,0.0,20548.0,,8622.0,25228.0,0.5076,1,60842848.0,7284.0,12531.0,
55,Alaska Bible College,Palmer,AK,akbible.edu,3,3,2,,0.0,20897.0,,10900.0,10900.0,,1,89878.0,37.0,,10592.0
56,University of Alaska Fairbanks,Fairbanks,AK,uaf.edu,3,4,1,0.6469,0.0,19621.0,,7248.0,21384.0,0.5811,1,114179961.0,4108.0,9684.0,
57,University of Alaska Southeast,Juneau,AK,uas.alaska.edu,1,4,1,0.5625,0.0,16275.0,,6960.0,21096.0,0.5114,1,6773153.0,999.0,7368.0,
58,Alaska Pacific University,Anchorage,AK,alaskapacific.edu,3,4,2,0.9603,0.0,38278.0,,20760.0,20760.0,0.4804,1,78389954.0,347.0,,20550.0
59,Alaska Vocational Technical Center,Seward,AK,avtec.edu,1,1,1,,0.0,,18826.0,,,,3,,259.0,10337.0,
60,Charter College,Vancouver,WA,chartercollege.edu,1,3,3,,0.0,32511.0,,17289.0,17289.0,0.3295,1,,2215.0,,25372.0
61,Alaska Career College,Anchorage,AK,alaskacareercollege.edu,1,2,3,,0.0,,21259.0,,,0.12,2,,317.0,,16351.0
62,Empire Beauty School-Tucson,Tucson,AZ,empire.edu,1,1,3,,0.0,,19722.0,,,,3,,138.0,,15223.0
63,Carrington College-Phoenix North,Phoenix,AZ,carrington.edu,1,2,3,,0.0,,31592.0,,,0.5098,2,,1281.0,,28423.0
64,Carrington College-Mesa,Mesa,AZ,carrington.edu,1,2,3,,0.0,,46690.0,,,0.3077,2,,591.0,,42322.0
65,Carrington College-Tucson,Tucson,AZ,carrington.edu,1,2,3,,0.0,,42772.0,,,0.3793,2,,517.0,,40854.0
66,Arizona Academy of Beauty,Tucson,AZ,arizonaacademy.com,1,1,3,,0.0,,17079.0,,,,3,,48.0,,11541.0
67,Miller-Motte College-Arizona Automotive Institute,Glendale,AZ,aai.edu,1,1,3,,0.0,,25866.0,,,,3,,398.0,,22744.0
68,Brookline College-Phoenix,Phoenix,AZ,brooklinecollege.edu,1,4,3,,0.0,,36627.0,,,1.0,1,,1000.0,,32422.0
69,Arizona State University Campus Immersion,Tempe,AZ,asu.edu,3,4,1,0.8819,0.0,26992.0,,11348.0,29438.0,0.7237,1,821111133.0,64216.0,12814.0,
70,Arizona Western College,Yuma,AZ,azwestern.edu,2,2,1,,0.0,15598.0,,2900.0,11450.0,0.3269,2,3704793.0,7388.0,10135.0,
71,University of Arizona,Tucson,AZ,arizona.edu,3,4,1,0.8727,0.0,27985.0,,12736.0,37258.0,0.7586,1,983848320.0,36560.0,15601.0,
72,Central Arizona College,Coolidge,AZ,centralaz.edu,2,2,1,,0.0,10402.0,,2580.0,5160.0,1.0,2,5312165.0,4388.0,5491.0,
73,Charles of Italy Beauty College,Lake Havasu City,AZ,charlesofitaly.edu,1,1,3,,0.0,,14582.0,,,,3,,56.0,,9531.0
