,INSTNM,CITY,STABBR,INSTURL,PREDDEG,HIGHDEG,CONTROL,ADM_RATE,DISTANCEONLY,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,PFTFAC,ICLEVEL,ENDOWBEGIN,UGDS,NPT4_PUB,NPT4_PRIV
933,McKendree University,Lebanon,IL,mckendree.edu,3,4,2,0.7768,0.0,46130.0,,33050.0,33050.0,1.0,1,32516798.0,1436.0,,24989.0
934,Meadville Theological School of Lombard College,Chicago,IL,meadville.edu,4,4,2,,0.0,,,,,0.4615,1,27378517.0,,,
935,Methodist College,Peoria,IL,methodistcol.edu,3,4,2,1.0,0.0,38345.0,,18008.0,18008.0,0.5588,1,2314851.0,514.0,,28547.0
936,Millikin University,Decatur,IL,millikin.edu,3,4,2,0.7481,0.0,52565.0,,26792.0,39592.0,0.7609,1,94270603.0,1719.0,,19230.0
937,Monmouth College,Monmouth,IL,monmouthcollege.edu,3,3,2,0.6564,0.0,52167.0,,41390.0,41390.0,0.7857,1,114661256.0,750.0,,17467.0
938,Moody Bible Institute,Chicago,IL,moody.edu,3,4,2,0.9765,0.0,31107.0,,14335.0,14335.0,0.3077,1,42200301.0,1878.0,,21557.0
939,Moraine Valley Community College,Palos Hills,IL,morainevalley.edu,2,2,1,,0.0,10929.0,,3678.0,9414.0,0.2853,2,,7443.0,1610.0,
940,Morrison Institute of Technology,Morrison,IL,morrisontech.edu,2,2,2,,0.0,26438.0,,17400.0,17400.0,0.875,2,,74.0,,18165.0
941,Morton College,Cicero,IL,morton.edu,2,2,1,,0.0,12706.0,,5380.0,11524.0,0.3862,2,,2702.0,7175.0,
942,National Louis University,Chicago,IL,nl.edu,3,4,2,0.9704,0.0,23485.0,,11505.0,11505.0,1.0,1,34585380.0,3485.0,,14544.0
943,National University of Health Sciences,Lombard,IL,nuhs.edu,1,4,2,,0.0,,,,,1.0,1,7932935.0,19.0,,
944,Cosmetology Concepts Niles,Niles,IL,johnnamicoschoolofhairdesign.com,1,1,3,,0.0,,14733.0,,,,3,,55.0,,11537.0
945,North Central College,Naperville,IL,northcentralcollege.edu,3,4,2,0.684,0.0,54526.0,,42206.0,42206.0,0.5357,1,112843418.0,2384.0,,25605.0
946,North Park University,Chicago,IL,northpark.edu,3,4,2,0.6714,0.0,39934.0,,33050.0,33050.0,1.0,1,76326518.0,1834.0,,18956.0
947,Northern Baptist Theological Seminary,Lisle,IL,seminary.edu,4,4,2,,0.0,,,,,0.4167,1,15750593.0,,,
948,Northern Illinois University,Dekalb,IL,niu.edu,3,4,1,0.7045,0.0,26275.0,,12478.0,12478.0,0.727,1,75990238.0,11819.0,14266.0,
949,Northwestern University,Evanston,IL,northwestern.edu,3,4,2,0.0697,0.0,81058.0,,60768.0,60768.0,0.8198,1,8484706000.0,8691.0,,28230.0
950,Northeastern Illinois University,Chicago,IL,neiu.edu,3,4,1,0.6211,0.0,24339.0,,12064.0,22155.0,0.5419,1,12236422.0,4547.0,13555.0,
951,Oakton Community College,Des Plaines,IL,oakton.edu,1,2,1,,0.0,10771.0,,3985.0,12462.0,0.2517,2,,6862.0,6277.0,
952,Oehrlein School of Cosmetology,East Peoria,IL,oehrleinschool.com,1,1,3,,0.0,,12866.0,,,,3,,45.0,,9727.0
953,Olivet Nazarene University,Bourbonnais,IL,olivet.edu,3,4,2,0.6055,0.0,48838.0,,37440.0,37440.0,0.3842,1,45060582.0,2599.0,,20023.0
954,Parkland College,Champaign,IL,parkland.edu,2,2,1,,0.0,13095.0,,5130.0,15930.0,0.4038,2,9358259.0,3272.0,8908.0,
955,Prairie State College,Chicago Heights,IL,prairiestate.edu,2,2,1,,0.0,14147.0,,4176.0,11064.0,0.3766,2,2597029.0,2306.0,6290.0,
956,Principia College,Elsah,IL,principiacollege.edu,3,3,2,0.8406,0.0,,,30820.0,30820.0,1.0,1,373804012.0,318.0,,
957,Professional's Choice Hair Design Academy,Joliet,IL,pchairdesign.com,1,1,3,,0.0,,18453.0,,,,3,,41.0,,15525.0
958,Quincy University,Quincy,IL,quincy.edu,3,4,2,0.598,0.0,43004.0,,31160.0,31160.0,0.5534,1,16852525.0,966.0,,16178.0
959,Rend Lake College,Ina,IL,rlc.edu,1,2,1,,0.0,14722.0,,4050.0,6750.0,0.6818,2,5165184.0,1211.0,8227.0,
960,Richland Community College,Decatur,IL,richland.edu,1,2,1,,0.0,10235.0,,4590.0,19260.0,0.472,2,16583272.0,1442.0,5043.0,
961,Rock Valley College,Rockford,IL,rockvalleycollege.edu,2,2,1,,0.0,14489.0,,4124.0,17564.0,0.3515,2,6706345.0,4636.0,7447.0,
962,Rockford University,Rockford,IL,rockford.edu,3,4,2,0.6678,0.0,43892.0,,34000.0,34000.0,0.3763,1,24830992.0,956.0,,23040.0
963,Roosevelt University,Chicago,IL,roosevelt.edu,3,4,2,0.9229,0.0,45697.0,,31493.0,31493.0,0.3169,1,133050314.0,2585.0,,24251.0
964,Dominican University,River Forest,IL,dom.edu,3,4,2,0.8094,0.0,43227.0,,35570.0,35570.0,0.3835,1,39105049.0,2034.0,,17840.0
965,Rush University,Chicago,IL,rushu.rush.edu,3,4,2,,0.0,,,,,0.6652,1,652096000.0,118.0,,
966,Saint Francis Medical Center College of Nursing,Peoria,IL,sfmccon.edu,3,4,2,,0.0,,,,,0.7872,1,,272.0,,
967,University of St Francis,Joliet,IL,stfrancis.edu,3,4,2,0.6823,0.0,43586.0,,35000.0,35000.0,0.8636,1,22607586.0,1519.0,,16578.0
968,St. John's College-Department of Nursing,Springfield,IL,sjcs.edu,3,4,2,,0.0,,,,,0.8095,1,2068987.0,93.0,,
969,Saint Xavier University,Chicago,IL,sxu.edu,3,4,2,0.8479,0.0,40895.0,,35060.0,35060.0,0.3342,1,22786022.0,3087.0,,13326.0
970,University of Illinois Springfield,Springfield,IL,uis.edu,3,4,1,0.7949,0.0,23892.0,,11911.0,21526.0,0.6126,1,17958234.0,2441.0,12065.0,
971,Sauk Valley Community College,Dixon,IL,svcc.edu,1,2,1,,0.0,13725.0,,4950.0,12840.0,0.463,2,3752668.0,1076.0,7504.0,
972,Shawnee Community College,Ullin,IL,shawneecc.edu,1,2,1,,0.0,13011.0,,4200.0,6720.0,0.4024,2,1164626.0,667.0,4875.0,
973,St. Augustine College,Chicago,IL,staugustine.edu,2,3,2,,0.0,18980.0,,12120.0,12120.0,0.1268,1,122863.0,714.0,,15337.0
974,University of Saint Mary of the Lake,Mundelein,IL,usml.edu,4,4,2,,0.0,,,,,1.0,1,36748207.0,,,
975,Southeastern Illinois College,Harrisburg,IL,sic.edu,1,2,1,,0.0,12529.0,,4140.0,6360.0,0.5679,2,4305419.0,634.0,5697.0,
976,National Latino Education Institute,Chicago,IL,nlei.org,1,1,2,,0.0,,24861.0,,,,3,,0.0,,17615.0
977,Spertus College,Chicago,IL,spertus.edu,4,4,2,,0.0,,,,,0.1111,1,16632439.0,,,
978,Spoon River College,Canton,IL,src.edu,1,2,1,,0.0,12013.0,,5220.0,11910.0,0.4624,2,3022160.0,821.0,5552.0,
979,Saint Anthony College of Nursing,Rockford,IL,sacn.edu,3,4,2,1.0,0.0,,,27611.0,27611.0,0.48,1,6317948.0,189.0,,
980,Educators of Beauty College of Cosmetology-Sterling,Sterling,IL,educatorsofbeauty.com,1,1,3,,0.0,,16256.0,,,,3,,35.0,,13048.0
981,Southern Illinois University-Carbondale,Carbondale,IL,siu.edu,3,4,1,0.9515,0.0,29247.0,,15240.0,15240.0,0.819,1,150174329.0,7973.0,16316.0,
982,Southern Illinois University-Edwardsville,Edwardsville,IL,siue.edu,3,4,1,0.9807,0.0,24338.0,,12219.0,12219.0,0.7163,1,27381215.0,9903.0,14331.0,
983,Taylor Business Institute,Chicago,IL,tbiil.edu,2,2,3,0.8913,0.0,22550.0,,10650.0,10650.0,,2,,231.0,,16555.0
984,Telshe Yeshiva-Chicago,Chicago,IL,telsheyeshivachicago.com,3,4,2,0.9333,0.0,18500.0,,16000.0,16000.0,0.8421,1,,73.0,,6669.0
985,South Suburban College,South Holland,IL,ssc.edu,2,2,1,,0.0,10814.0,,5093.0,12683.0,0.3656,2,,2032.0,5277.0,
986,Tri-County Beauty Academy,LITCHFIELD,IL,tcbacademy.net,1,1,3,,0.0,,14219.0,,,,3,,9.0,,12104.0
987,Trinity Christian College,Palos Heights,IL,trnty.edu,3,4,2,0.7624,0.0,38493.0,,33325.0,33325.0,0.5315,1,13010763.0,832.0,,14555.0
988,Trinity International University-Illinois,Deerfield,IL,tiu.edu,3,4,2,0.9142,0.0,47164.0,,33298.0,33298.0,0.5091,1,40172540.0,476.0,,19979.0
989,Triton College,River Grove,IL,triton.edu,2,2,1,,0.0,11281.0,,4620.0,13980.0,0.2794,2,366349.0,6500.0,4731.0,
990,University of Spa & Cosmetology Arts,Springfield,IL,uscart.com,1,1,3,,0.0,,21291.0,,,,3,,151.0,,17294.0
991,VanderCook College of Music,Chicago,IL,vandercook.edu,3,4,2,1.0,0.0,36350.0,,29800.0,29800.0,0.403,1,410792.0,72.0,,20738.0
992,Waubonsee Community College,Sugar Grove,IL,waubonsee.edu,2,2,1,,0.0,9498.0,,3360.0,10076.0,0.2283,2,5470271.0,5591.0,5597.0,
993,Oak Point University,Oak Brook,IL,oakpoint.edu,3,4,2,,0.0,,,,,0.8696,1,7772844.0,506.0,,
994,Western Illinois University,Macomb,IL,wiu.edu,3,4,1,0.7248,0.0,25774.0,,13669.0,13669.0,0.8772,1,63570086.0,5268.0,11663.0,
995,Wheaton College,Wheaton,IL,wheaton.edu,3,4,2,0.8625,0.0,51664.0,,40820.0,40820.0,0.6798,1,502044363.0,2301.0,,25287.0
996,William Rainey Harper College,Palatine,IL,harpercollege.edu/index.php,1,2,1,,0.0,12976.0,,3702.0,11682.0,0.2893,2,4446130.0,9111.0,6856.0,
997,Anderson University,Anderson,IN,anderson.edu,3,4,2,0.6245,0.0,46132.0,,32950.0,32950.0,1.0,1,35109000.0,1137.0,,22009.0
998,Ball State University,Muncie,IN,bsu.edu,3,4,1,0.6817,0.0,24343.0,,10290.0,27524.0,0.8141,1,213227079.0,13896.0,15464.0,
999,Bethel University,Mishawaka,IN,betheluniversity.edu,3,4,2,0.9792,0.0,41114.0,,30830.0,30830.0,0.9873,1,9642344.0,1144.0,,17597.0
1000,Butler University,Indianapolis,IN,butler.edu,3,4,2,0.8055,0.0,62950.0,,43400.0,43400.0,1.0,1,216806000.0,4388.0,,36631.0
1001,Calumet College of Saint Joseph,Whiting,IN,ccsj.edu,3,4,2,,0.0,27153.0,,20470.0,20470.0,0.2637,1,4474425.0,522.0,,12801.0
1002,Christian Theological Seminary,Indianapolis,IN,cts.edu,4,4,2,,0.0,,,,,1.0,1,112364586.0,,,
1003,College of Court Reporting Inc,Valparaiso,IN,ccr.edu,2,2,3,,1.0,36460.0,,9600.0,9600.0,,2,,117.0,,35429.0
1004,Concordia Theological Seminary,Fort Wayne,IN,ctsfw.edu,4,4,2,,0.0,,,,,0.875,1,65712064.0,,,
1005,Tricoci University of Beauty Culture-Highland,Highland,IN,tricociuniversity.edu,1,1,3,,0.0,,22544.0,,,,3,,296.0,,18922.0
1006,DePauw University,Greencastle,IN,depauw.edu,3,3,2,0.6467,0.0,67574.0,,53896.0,53896.0,0.8352,1,692896381.0,1708.0,,22469.0
1007,Don Roberts School of Hair Design,Schererville,IN,donrobertsspaschool.com,1,1,3,,0.0,,19411.0,,,,3,,9.0,,15789.0
1008,Earlham College,Richmond,IN,earlham.edu,3,4,2,0.6908,0.0,61735.0,,49323.0,49323.0,0.9541,1,380029047.0,653.0,,22195.0
1009,University of Evansville,Evansville,IN,evansville.edu,3,4,2,0.7495,0.0,52225.0,,39806.0,39806.0,0.9693,1,136842286.0,1554.0,,20340.0
1010,Franklin College,Franklin,IN,franklincollege.edu,3,4,2,0.9465,0.0,47871.0,,34966.0,34966.0,0.7358,1,83786190.0,880.0,,21185.0
1011,Goshen College,Goshen,IN,goshen.edu,3,4,2,0.9285,0.0,44979.0,,35940.0,35940.0,0.6,1,111151366.0,725.0,,16407.0
1012,Grace College and Theological Seminary,Winona Lake,IN,grace.edu,3,4,2,0.8316,0.0,38720.0,,28228.0,28228.0,0.9661,1,18612354.0,1426.0,,18393.0
1013,Hanover College,Hanover,IN,hanover.edu,3,3,2,0.7279,0.0,53520.0,,40250.0,40250.0,0.7483,1,141267861.0,1000.0,,19722.0
1014,J Michael Harrold Beauty Academy,Terre Haute,IN,harroldbeautyacademy.com,1,1,3,,0.0,,19552.0,,,,3,,131.0,,15885.0
1015,Holy Cross College,Notre Dame,IN,hcc-nd.edu,3,3,2,0.8594,0.0,46064.0,,34050.0,34050.0,0.4366,1,6725944.0,445.0,,23745.0
1016,PJ's College of Cosmetology-Clarksville,Clarksville,IN,gotopjs.com,1,1,3,,0.0,,18289.0,,,,3,,224.0,,12751.0
1017,Huntington University,Huntington,IN,huntington.edu,3,4,2,0.7877,0.0,38236.0,,28192.0,28192.0,1.0,1,28949830.0,1002.0,,18851.0
1018,Ivy Tech Community College,Indianapolis,IN,ivytech.edu,1,2,1,,0.0,13172.0,,4637.0,8927.0,0.3276,2,39648110.0,51522.0,6685.0,
1019,Purdue University Fort Wayne,Fort Wayne,IN,pfw.edu,3,4,1,0.832,0.0,18756.0,,8857.0,21265.0,0.9619,1,58526183.0,5708.0,10455.0,
1020,Indiana University-Purdue University-Indianapolis,Indianapolis,IN,iupui.edu,3,4,1,0.8361,0.0,21348.0,,10044.0,32101.0,0.5338,1,1722778403.0,18707.0,10947.0,
1021,University of Indianapolis,Indianapolis,IN,uindy.edu,3,4,2,0.7785,0.0,46267.0,,33520.0,33520.0,1.0,1,109460594.0,3954.0,,21411.0
1022,Indiana Institute of Technology,Fort Wayne,IN,indianatech.edu,3,4,2,0.6501,0.0,41167.0,,28840.0,28840.0,1.0,1,49635134.0,1380.0,,20893.0
1023,University of Southern Indiana,Evansville,IN,usi.edu,3,4,1,0.9641,0.0,19946.0,,9424.0,21212.0,1.0,1,125968566.0,6031.0,14611.0,
1024,Indiana State University,Terre Haute,IN,indstate.edu,3,4,1,0.9368,0.0,23079.0,,9598.0,20862.0,0.737,1,63270000.0,7653.0,14961.0,
1025,Indiana University-Kokomo,Kokomo,IN,iuk.edu,3,4,1,0.9035,0.0,11659.0,,7827.0,20934.0,0.5476,1,8837479.0,2612.0,4757.0,
1026,Indiana University-South Bend,South Bend,IN,iusb.edu,3,4,1,0.8894,0.0,15126.0,,7827.0,20934.0,0.6084,1,23011771.0,3791.0,8518.0,
1027,Indiana University-Bloomington,Bloomington,IN,indiana.edu,3,4,1,0.8504,0.0,26051.0,,11333.0,38352.0,0.8592,1,1209430160.0,33995.0,14216.0,
1028,Indiana University-Northwest,Gary,IN,iun.edu,3,4,1,0.8548,0.0,13200.0,,7827.0,20934.0,0.4643,1,12770186.0,2941.0,6666.0,
1029,Indiana University-Southeast,New Albany,IN,ius.edu,3,4,1,0.9005,0.0,13317.0,,7827.0,20934.0,0.4962,1,18185063.0,3427.0,6914.0,
1030,Indiana University-East,Richmond,IN,iue.edu,3,4,1,0.8051,0.0,14685.0,,7827.0,20934.0,0.4342,1,6121065.0,2639.0,8149.0,
1031,International Business College-Indianapolis,Indianapolis,IN,ibcindianapolis.edu,2,2,3,0.7363,0.0,22408.0,,13960.0,13960.0,0.7143,2,,224.0,,15850.0
1032,Taylor Institute of Cosmetology II,Knox,IN,kbc.edu,1,1,3,,0.0,,,,,,3,,52.0,,
1033,Tricoci University of Beauty Culture-Lafayette,Lafayette,IN,tricociuniversity.edu,1,1,3,,0.0,,,,,,3,,104.0,,
1034,Lincoln College of Technology-Indianapolis,Indianapolis,IN,lincolntech.edu/campus/indianapolis-in,1,2,3,,0.0,,35262.0,,,0.8095,2,,1124.0,,30603.0
1035,Manchester University,North Manchester,IN,manchester.edu,3,4,2,0.7608,0.0,46592.0,,34436.0,34436.0,0.7829,1,63391279.0,977.0,,16986.0
1036,Marian University,Indianapolis,IN,marian.edu,3,4,2,0.7309,0.0,50130.0,,36600.0,36600.0,0.4701,1,74932481.0,2668.0,,21765.0
1037,Indiana Wesleyan University-Marion,Marion,IN,indwes.edu,3,4,2,0.9191,0.0,40361.0,,28960.0,28960.0,1.0,1,201367949.0,2268.0,,21077.0
1038,Martin University,Indianapolis,IN,martin.edu,3,4,2,,0.0,25074.0,,13200.0,13200.0,0.8571,1,,180.0,,15271.0
1039,Anabaptist Mennonite Biblical Seminary,Elkhart,IN,ambs.edu,4,4,2,,0.0,,,,,1.0,1,18774385.0,,,
1040,Mid-America College of Funeral Service,Jeffersonville,IN,mid-america.edu,2,3,2,,0.0,23769.0,,16960.0,16960.0,,1,,271.0,,21454.0
1041,West Michigan College of Barbering and Beauty,Kalamazoo,MI,westmichigancollegeofbarberingandbeauty.com,1,1,3,,0.0,,13179.0,,,,2,,88.0,,11064.0
1042,University of Notre Dame,Notre Dame,IN,nd.edu,3,4,2,0.1507,0.0,76883.0,,58843.0,58843.0,0.8843,1,12319422000.0,8950.0,,32369.0
1043,Oakland City University,Oakland City,IN,oak.edu,3,4,2,0.7262,0.0,38495.0,,25740.0,25740.0,0.259,1,5644047.0,584.0,,11304.0
1044,PJ's College of Cosmetology-Richmond,Richmond,IN,gotopjs.com,1,1,3,,0.0,,23530.0,,,,3,,53.0,,16929.0
1045,Ravenscroft Beauty College,Fort Wayne,IN,ravenscroftcollege.com,1,1,3,,0.0,,20648.0,,,,3,,146.0,,16164.0
1046,Rogers Academy of Hair Design,Evansville,IN,rogershair.com,1,1,3,,0.0,,17701.0,,,,3,,109.0,,14760.0
1047,Rose-Hulman Institute of Technology,Terre Haute,IN,rose-hulman.edu,3,4,2,0.774,0.0,71664.0,,53019.0,53019.0,0.9746,1,226747984.0,2075.0,,36277.0
1048,University of Saint Francis-Fort Wayne,Fort Wayne,IN,sf.edu,3,4,2,0.994,0.0,41644.0,,33390.0,33390.0,0.5958,1,29979217.0,1724.0,,17773.0
1049,Saint Mary-of-the-Woods College,Saint Mary of the Woods,IN,smwc.edu,3,4,2,0.7032,0.0,43387.0,,31425.0,31425.0,0.2629,1,12522281.0,784.0,,15385.0
1050,Saint Mary's College,Notre Dame,IN,saintmarys.edu,3,4,2,0.8307,0.0,61344.0,,48010.0,48010.0,0.6802,1,198707916.0,1375.0,,24335.0
1051,Saint Meinrad School of Theology,St. Meinrad,IN,saintmeinrad.edu,4,4,2,,0.0,,,,,1.0,1,47621293.0,,,
1052,Saint Elizabeth School of Nursing,Lafayette,IN,steson.org,1,1,2,1.0,0.0,33979.0,,20064.0,20064.0,,2,,156.0,,29030.0
1053,Taylor University,Upland,IN,taylor.edu,3,4,2,0.7285,0.0,50059.0,,36570.0,36570.0,0.6531,1,97527522.0,1713.0,,26401.0
1054,Trine University,Angola,IN,trine.edu,3,4,2,0.7852,0.0,48017.0,,34180.0,34180.0,0.4688,1,32467728.0,2254.0,,25144.0
1055,Valparaiso University,Valparaiso,IN,valpo.edu,3,4,2,0.9317,0.0,55483.0,,44796.0,44796.0,0.693,1,254282000.0,2493.0,,25802.0
1056,Vincennes Beauty College,Vincennes,IN,vincennesbeautycollege.com,1,1,3,,0.0,,10118.0,,,,3,,42.0,,4905.0
1057,Vincennes University,Vincennes,IN,vinu.edu,2,3,1,,0.0,18493.0,,6449.0,15253.0,0.2328,1,65736187.0,4136.0,10862.0,
1058,Wabash College,Crawfordsville,IN,wabash.edu,3,3,2,0.6159,0.0,59581.0,,45850.0,45850.0,0.9588,1,335881771.0,840.0,,19772.0
1059,Allen College,Waterloo,IA,allencollege.edu,3,4,2,1.0,0.0,,,19718.0,19718.0,0.4699,1,8005129.0,314.0,,
1060,Briar Cliff University,Sioux City,IA,briarcliff.edu,3,4,2,,0.0,47399.0,,33998.0,33998.0,0.5676,1,17085946.0,648.0,,21002.0
1061,Buena Vista University,Storm Lake,IA,bvu.edu,3,4,2,0.6598,0.0,49252.0,,37518.0,37518.0,0.252,1,128993080.0,1451.0,,18031.0
1062,Capri College-Dubuque,Dubuque,IA,capricollege.edu,1,1,3,,0.0,,13839.0,,,,2,,148.0,,8595.0
1063,Capri College-Cedar Rapids,Cedar Rapids,IA,capricollege.edu,1,1,3,,0.0,,13839.0,,,,2,,144.0,,9875.0
1064,Central College,Pella,IA,central.edu,3,3,2,0.7452,0.0,33319.0,,19250.0,19250.0,0.8952,1,79516457.0,1106.0,,22535.0
1065,Clarke University,Dubuque,IA,clarke.edu,3,4,2,0.8878,0.0,50561.0,,36870.0,36870.0,0.5797,1,26415457.0,702.0,,26777.0
1066,Coe College,Cedar Rapids,IA,coe.edu,3,3,2,0.7266,0.0,59900.0,,48822.0,48822.0,1.0,1,98765208.0,1347.0,,18515.0
1067,Cornell College,Mount Vernon,IA,cornellcollege.edu,3,3,2,0.811,0.0,60359.0,,47726.0,47726.0,1.0,1,81135185.0,1045.0,,21543.0
1068,Des Moines Area Community College,Ankeny,IA,dmacc.edu,2,2,1,,0.0,14535.0,,5220.0,10440.0,0.9973,2,6337151.0,10175.0,10465.0,
1069,Divine Word College,Epworth,IA,dwci.edu,3,3,2,1.0,0.0,,,14200.0,14200.0,0.8696,1,30933027.0,67.0,,
1070,Dordt University,Sioux Center,IA,dordt.edu,3,4,2,0.7323,0.0,47712.0,,34170.0,34170.0,0.6081,1,49612232.0,1411.0,,25575.0
1071,Drake University,Des Moines,IA,drake.edu,3,4,2,0.6907,0.0,59043.0,,45912.0,45912.0,0.6633,1,219800168.0,2857.0,,29098.0
1072,University of Dubuque,Dubuque,IA,dbq.edu,3,4,2,0.7643,0.0,47628.0,,36010.0,36010.0,1.0,1,173771931.0,1582.0,,26800.0
1073,Ellsworth Community College,Iowa Falls,IA,ecc.iavalley.edu,2,2,1,,0.0,16577.0,,5040.0,6048.0,1.0,2,,574.0,11075.0,
1074,Emmaus Bible College,Dubuque,IA,emmaus.edu,3,3,2,0.9906,0.0,30350.0,,19550.0,19550.0,0.931,1,1520110.0,176.0,,14934.0
1075,Eastern Iowa Community College District,Davenport,IA,eicc.edu,2,2,1,,0.0,14476.0,,4296.0,5904.0,1.0,2,,3435.0,10401.0,
1076,Faith Baptist Bible College and Theological Seminary,Ankeny,IA,faith.edu,3,4,2,0.5614,0.0,28831.0,,18180.0,18180.0,0.4348,1,4580198.0,297.0,,15226.0
1077,Graceland University-Lamoni,Lamoni,IA,graceland.edu,3,4,2,0.6662,0.0,45160.0,,31920.0,31920.0,0.9595,1,42369160.0,922.0,,18561.0
1078,Grand View University,Des Moines,IA,grandview.edu,3,4,2,0.9955,0.0,41358.0,,30864.0,30864.0,0.4433,1,26172472.0,1532.0,,36663.0
1079,Grinnell College,Grinnell,IA,grinnell.edu,3,3,2,0.1054,0.0,73244.0,,58648.0,58648.0,0.8296,1,2090750000.0,1713.0,,28610.0
1080,Orion Technical College,Davenport,IA,orion.edu/iowa,1,3,3,,0.0,24022.0,,14475.0,14475.0,,1,,103.0,,18852.0
1081,Hawkeye Community College,Waterloo,IA,hawkeyecollege.edu,2,2,1,,0.0,15502.0,,5977.0,6524.0,1.0,2,3206892.0,2714.0,11000.0,
1082,American Hair Academy,Mt. Pleasant,IA,americanhairacademy.com,1,1,3,,0.0,,15407.0,,,,2,,26.0,,12443.0
1083,Indian Hills Community College,Ottumwa,IA,indianhills.edu,2,2,1,,0.0,13213.0,,4560.0,6000.0,0.3671,2,4677972.0,1814.0,7519.0,
1084,Iowa Central Community College,Fort Dodge,IA,iowacentral.edu,2,2,1,,0.0,15972.0,,6000.0,8650.0,1.0,2,5732607.0,2938.0,9989.0,
1085,Iowa Lakes Community College,Estherville,IA,iowalakes.edu,2,2,1,,0.0,18583.0,,6844.0,7196.0,0.9865,2,7159279.0,920.0,13200.0,
1086,UnityPoint Health-Des Moines School of Radiologic Technology,Des Moines,IA,unitypoint.org/desmoines//radiologic-technology-certificate-program.aspx,1,1,2,,0.0,,,,,,2,,14.0,,
1087,Iowa School of Beauty-Des Moines,Des Moines,IA,iowaschoolofbeauty.com,1,1,3,,0.0,,16376.0,,,,2,,48.0,,9553.0
1088,Iowa State University,Ames,IA,iastate.edu,3,4,1,0.9112,0.0,21746.0,,9634.0,25446.0,0.8505,1,1034248323.0,25537.0,15351.0,
1089,Iowa Wesleyan University,Mount Pleasant,IA,iw.edu,3,4,2,0.819,0.0,47506.0,,33650.0,33650.0,0.3704,1,17463237.0,717.0,,33614.0
1090,Iowa Western Community College,Council Bluffs,IA,iwcc.edu,2,2,1,,0.0,17633.0,,6330.0,6480.0,1.0,2,18058816.0,3481.0,12228.0,
1091,University of Iowa,Iowa City,IA,uiowa.edu,3,4,1,0.8621,0.0,25376.0,,9942.0,31905.0,0.856,1,2530872000.0,21198.0,19443.0,
1092,Kirkwood Community College,Cedar Rapids,IA,kirkwood.edu,2,2,1,,0.0,14318.0,,5308.0,7072.0,0.9961,2,31462816.0,7778.0,9422.0,
1093,La James International College-Cedar Falls,Cedar Falls,IA,ljic.edu,1,1,3,,0.0,,24531.0,,,,2,,23.0,,20702.0
1094,La James International College-Johnston,Johnston,IA,ljic.edu,1,1,3,,0.0,,19568.0,,,,2,,46.0,,13667.0
1095,La James College of Hairstyling and Cosmetology,Mason City,IA,lajames.edu,1,1,3,,0.0,,14662.0,,,,2,,44.0,,6755.0
1096,La James International College-Ft Dodge,Fort Dodge,IA,ljic.edu,1,1,3,,0.0,,22501.0,,,,2,,14.0,,17123.0
1097,Loras College,Dubuque,IA,loras.edu,3,4,2,0.7196,0.0,46488.0,,35268.0,35268.0,0.7829,1,42736730.0,1236.0,,19091.0
1098,Luther College,Decorah,IA,luther.edu,3,3,2,0.7607,0.0,59775.0,,46760.0,46760.0,0.7258,1,164601433.0,1732.0,,25291.0
1099,Maharishi International University,Fairfield,IA,miu.edu,3,4,2,0.9483,0.0,28730.0,,16530.0,16530.0,0.9187,1,10041000.0,652.0,,14573.0
1100,Marshalltown Community College,Marshalltown,IA,mcc.iavalley.edu,2,2,1,,0.0,12888.0,,5040.0,5448.0,1.0,2,,803.0,6588.0,
1101,Mercy College of Health Sciences,Des Moines,IA,mchs.edu,3,3,2,0.9697,0.0,30272.0,,19754.0,19754.0,0.5644,1,8334658.0,950.0,,21699.0
1102,Morningside University,Sioux City,IA,morningside.edu,3,4,2,0.738,0.0,47588.0,,35270.0,35270.0,1.0,1,46411007.0,1188.0,,23807.0
1103,Mount Mercy University,Cedar Rapids,IA,mtmercy.edu,3,4,2,0.8099,0.0,50045.0,,36540.0,36540.0,1.0,1,27783955.0,1280.0,,22187.0
1104,Ashford University,San Diego,CA,uagc.edu,3,4,3,,1.0,28211.0,,14278.0,14278.0,0.0615,1,,31534.0,,23380.0
1105,North Iowa Area Community College,Mason City,IA,niacc.edu,2,2,1,,0.0,14117.0,,5971.0,8547.0,1.0,2,34265294.0,1391.0,8073.0,
1106,University of Northern Iowa,Cedar Falls,IA,uni.edu,3,4,1,0.8579,0.0,20990.0,,9053.0,19753.0,0.788,1,132890106.0,7812.0,14017.0,
1107,Northwestern College,Orange City,IA,nwciowa.edu,3,4,2,0.8302,0.0,46659.0,,33590.0,33590.0,1.0,1,56297439.0,1030.0,,23185.0
1108,Northeast Iowa Community College,Calmar,IA,nicc.edu,2,2,1,,0.0,15523.0,,6120.0,6840.0,0.3789,2,2774587.0,1769.0,8743.0,
1109,Northwest Iowa Community College,Sheldon,IA,nwicc.edu,2,2,1,,0.0,17019.0,,6540.0,6840.0,0.2857,2,3914485.0,779.0,11076.0,
1110,Des Moines University-Osteopathic Medical Center,Des Moines,IA,dmu.edu,4,4,2,,0.0,,,,,0.6129,1,147752803.0,,,
